Comune Provincia Codice Latitudine Longitudine 97ALB 97ALBPL 97CMP 97CMPPL 98ALB 98ALBPL P8CMP 98CMPPL 99ALB 99ALBPL 99CMP 99CMPPL 00ALB 00ALBPL 00CMP 00CMPPL 01ALB 01ALBPL 01CMP 01CMPPL 02ALB 02ALBPL 02CMP 02CMPPL 03ALB 03ALBPL 03CMP 03CMPPL 04ALB 04ALBPL 04CMP 04CMPPL 05ALB 05ALBPL 05CMP 05CMPPL 06ALB 06ALBPL 06CMP 06CMPPL 07ALB 07ALBPL 07CMP 07CMPPL 08ALB 08ALBPL 08CMP 08CMPPL 09ALB 09ALBPL 09CMP 09CMPPL 10ALB 10ALBPL 10CMP 10CMPPL
Zevio VR 97 45.377222 11.136389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0 2 8 0 0 2 8 1 43 0 0 1 43 2 11 2 85 0 0 2 85 1 24 2 85 1 24
Zimella VR 98 45.365278 11.341389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Agugliaro VI 99 45.32555556 11.58722222 0 0 0 0 0 0 1 4 0 0 2 20 0 0 2 20 0 0 2 20 0 0 3 25 0 0 3 25 0 0 1 14 0 0 3 25 0 0 3 27 0 0 3 27 0 0 3 27 0 0 3 26 0 0 3 26
Albettone VI 100 45.35861111 11.58555556 1 13 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 15 0 0 1 15 0 0 0 0 1 10 1 15 0 0 1 15 0 0 1 15 0 0 1 15 0 0 1 15 0 0 1 15 0 0
Alonte VI 101 45.36666667 11.42916667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AltavillaVicentina VI 102 45.50944444 11.47138889 5 281 0 0 5 261 0 0 6 264 0 0 6 264 1 6 6 264 2 11 6 378 1 6 6 378 1 6 6 378 1 4 6 378 3 15 6 386 2 13 6 378 4 23 6 378 2 26 6 378 3 35 6 378 2 26
Altissimo VI 103 45.61583333 11.25111111 1 10 0 0 0 0 0 0 0 0 0 0 1 10 0 0 1 10 0 0 1 17 0 0 1 17 1 5 1 17 1 5 1 17 1 5 1 18 1 9 1 18 1 9 1 18 1 13 2 28 1 13 2 29 0 0
Arcugnano VI 104 45.4975 11.5525 4 99 0 0 4 148 0 0 4 148 0 0 4 148 3 17 4 148 5 21 4 152 2 21 4 152 4 38 4 152 6 39 4 152 7 50 4 152 13 95 4 152 14 107 4 152 10 74 4 152 11 79 4 152 11 79
Arsiero VI 105 45.80416667 11.35166667 4 72 0 0 4 75 0 0 4 96 0 0 4 96 0 0 4 96 0 0 5 129 0 0 5 129 1 14 5 129 0 0 5 129 1 14 5 134 1 6 5 125 1 14 5 127 3 42 5 126 2 29 5 126 2 29
Arzignano VI 106 45.52166667 11.33388889 4 98 0 0 4 98 0 0 4 98 0 0 4 98 0 0 4 98 0 0 3 74 2 28 3 74 3 45 3 74 1 17 3 74 3 45 3 85 2 33 3 85 2 33 4 100 2 33 4 100 2 33 4 100 2 33
Asiago VI 107 45.87555556 11.50916667 33 1659 17 1307 31 1578 17 1307 31 1634 17 1307 30 1604 935 7198 30 1691 949 7281 28 1541 875 6963 28 1541 877 6952 30 1733 871 6926 28 1541 878 6960 32 1819 1602 36348 33 1942 370 2990 33 2046 319 2859 29 2037 335 2942 27 1728 700 4069
AsiglianoVeneto VI 108 45.305 11.44666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BarbaranoVicentino VI 109 45.41166667 11.54083333 1 16 0 0 1 16 1 11 1 16 1 11 1 16 1 11 1 16 1 11 0 0 2 21 0 0 2 21 0 0 3 25 0 0 3 25 0 0 4 65 0 0 5 69 0 0 4 65 0 0 4 62 0 0 3 58
BassanodelGrappa VI 110 45.76638889 11.73694444 12 593 6 144 9 472 3 53 10 507 3 53 10 507 4 57 11 522 10 115 11 549 5 105 11 549 7 188 10 528 15 228 11 549 12 213 12 618 21 359 12 619 33 472 12 626 23 440 12 626 23 440 11 608 20 428
BolzanoVicentino VI 111 45.60361111 11.62333333 1 25 0 0 1 25 0 0 1 29 0 0 1 29 0 0 2 133 0 0 2 139 0 0 2 139 0 0 2 139 0 0 2 139 0 0 2 191 1 4 2 191 2 10 2 191 0 0 2 185 0 0 2 185 0 0
Breganze VI 112 45.70888889 11.56305556 2 32 0 0 2 32 0 0 2 32 0 0 2 32 0 0 2 32 0 0 1 20 0 0 1 20 0 0 1 20 1 7 1 20 0 0 1 22 2 97 1 22 1 7 1 22 2 9 1 22 3 21 1 22 3 21
Brendola VI 113 45.4725 11.46027778 1 28 0 0 1 28 0 0 0 0 0 0 0 0 0 0 0 0 1 15 0 0 1 15 0 0 1 15 0 0 2 31 0 0 1 15 0 0 3 35 0 0 5 41 0 0 3 38 0 0 3 38 0 0 3 38
Bressanvido VI 114 45.645 11.63305556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Brogliano VI 115 45.58972222 11.36555556 1 50 0 0 1 50 0 0 1 50 0 0 1 50 1 4 1 50 1 4 1 44 1 4 1 44 1 4 1 44 1 4 1 44 1 4 1 50 2 8 1 50 2 8 1 50 1 4 1 50 1 4 1 50 1 4
Caldogno VI 116 45.61194444 11.50194444 2 49 0 0 2 49 0 0 2 49 0 0 2 49 3 59 2 49 2 10 2 49 0 0 2 49 0 0 2 49 2 10 2 49 2 10 2 49 2 13 2 51 4 26 2 51 0 0 2 51 0 0 2 51 0 0
Caltrano VI 117 45.77055556 11.465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Calvene VI 118 45.76611111 11.51222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CamisanoVicentino VI 119 45.52416667 11.71416667 1 15 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 1 8 0 0 1 8 0 0 1 8 0 0 1 8 0 0 3 14 0 0 3 14 0 0 1 8 0 0 1 8 0 0 1 8
CampigliadeiBerici VI 120 45.33833333 11.54055556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 0 1 10 0 0 1 10 0 0 1 10 0 0 1 10
CampolongosulBrenta VI 121 45.82944444 11.69972222 1 24 0 0 1 38 0 0 1 38 0 0 1 38 0 0 2 52 0 0 2 38 0 0 2 46 0 0 2 46 0 0 2 46 0 0 2 49 1 44 2 49 1 44 2 49 2 74 1 49 2 74 1 49 2 74
Carrè VI 122 45.74972222 11.46 2 42 0 0 3 58 0 0 3 59 0 0 3 59 0 0 3 59 0 0 3 55 0 0 3 55 0 0 2 36 1 5 3 55 1 5 2 44 0 0 2 44 1 8 2 44 0 0 2 44 0 0 2 44 0 0
Cartigliano VI 123 45.71472222 11.69833333 0 0 1 7 0 0 1 7 0 0 1 7 0 0 1 7 0 0 2 11 0 0 1 6 0 0 1 6 0 0 1 6 0 0 2 10 0 0 0 0 0 0 1 9 0 0 1 3 0 0 1 2 0 0 1 2
Cassola VI 124 45.73305556 11.79361111 2 118 0 0 2 111 0 0 2 111 0 0 2 111 0 0 2 111 1 7 2 109 0 0 2 109 0 0 2 109 2 25 2 109 1 5 2 116 3 31 2 114 3 36 2 114 2 32 1 84 2 30 1 84 2 30
Castegnero VI 125 45.43888889 11.6 0 0 0 0 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 27 1 11 1 27 1 11 1 27
Castelgomberto VI 126 45.58611111 11.395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 0 1 10 0 0 1 10 0 0 1 10 0 0 1 10 0 0 1 10 0 0 1 10 0 0 2 12
Chiampo VI 127 45.54583333 11.27916667 3 64 0 0 3 64 0 0 4 142 0 0 4 142 0 0 4 142 0 0 3 121 1 20 2 99 1 20 2 99 0 0 2 99 1 20 2 99 1 4 2 148 1 4 2 151 1 8 2 151 1 7 2 151 1 7
Chiuppano VI 128 45.76416667 11.46472222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 99 0 0 1 9 0 0 1 9 0 0 1 9 0 0 1 9
CismondelGrappa VI 129 45.92055556 11.73305556 5 85 2 2 5 94 2 20 5 94 2 20 5 94 2 20 5 94 2 20 5 85 2 21 6 101 2 21 5 90 2 23 6 101 2 21 5 104 2 23 6 119 3 33 6 119 2 23 5 100 2 23 5 100 2 23
CogollodelCengio VI 130 45.78944444 11.42083333 2 45 0 0 1 19 0 0 1 19 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 1 6 1 20 0 0 1 20 0 0 1 20 0 0
Conco VI 131 45.80166667 11.60916667 11 248 3 68 10 227 3 68 8 200 3 68 7 184 82 365 7 184 75 304 7 184 50 216 7 184 51 228 6 166 49 200 7 184 51 228 6 174 48 196 6 174 26 201 5 149 25 173 5 149 26 181 5 146 29 223
CornedoVicentino VI 132 45.61444444 11.345 1 14 0 0 2 30 0 0 2 30 0 0 2 30 0 0 2 30 0 0 2 30 0 0 3 52 0 0 3 52 0 0 3 52 0 0 3 52 1 6 3 52 2 10 3 52 1 6 3 52 1 6 3 52 1 6
Costabissara VI 133 45.58416667 11.48305556 1 24 0 0 1 24 0 0 1 25 0 0 2 48 0 0 2 48 0 0 2 48 0 0 2 49 1 11 2 49 1 11 2 49 1 11 2 49 1 11 2 49 3 123 2 47 5 130 2 47 6 140 2 47 5 136
Creazzo VI 134 45.53638889 11.47416667 1 22 0 0 1 24 0 0 1 24 0 0 1 24 0 0 1 24 0 0 1 24 0 0 1 24 0 0 0 0 1 5 1 24 1 5 3 376 4 21 3 378 3 16 3 378 1 6 3 378 2 10 3 378 0 0
Crespadoro VI 135 45.62083333 11.22611111 5 133 2 95 5 133 3 95 4 108 2 95 4 108 2 95 4 108 2 95 6 150 2 95 5 116 2 95 5 116 2 95 5 116 2 95 4 96 1 25 5 116 3 98 5 116 2 28 4 116 2 28 4 116 1 25
Dueville VI 136 45.63638889 11.54972222 1 29 0 0 1 29 0 0 1 29 0 0 1 29 0 0 1 29 0 0 1 31 0 0 1 31 0 0 1 31 0 0 1 31 0 0 1 31 0 0 1 31 1 3 1 31 1 8 1 31 1 8 1 31 1 8
Enego VI 137 45.94166667 11.70694444 9 289 3 65 7 230 3 65 6 174 3 65 6 174 364 1428 6 174 364 1428 6 174 364 1428 6 174 364 1428 7 213 364 1428 6 174 364 1428 7 210 354 1374 7 216 138 699 7 216 143 643 6 191 145 652 6 191 162 688
FaraVicentino VI 138 45.74305556 11.5475 0 0 0 0 0 0 0 0 0 0 1 10 0 0 1 10 1 24 1 10 1 24 1 10 1 24 2 14 1 24 3 17 1 24 2 14 1 24 4 29 1 24 3 17 1 24 4 28 1 24 4 28 1 24 7 43
Foza VI 139 45.8975 11.63027778 5 123 0 0 5 123 0 0 5 127 0 0 5 127 24 170 5 127 24 170 5 127 24 170 5 127 24 170 5 127 25 178 5 127 24 170 5 127 20 153 5 136 3 16 5 136 3 16 5 136 3 16 5 136 2 12
Gallio VI 140 45.89194444 11.54722222 6 210 8 227 5 171 8 227 5 270 8 227 5 270 1060 3946 5 223 1076 4014 5 223 1028 3795 5 223 1028 3780 4 187 1025 3752 5 223 1028 3780 4 251 1036 4603 4 260 189 993 4 260 175 912 4 260 193 993 3 235 1125 2409
Gambellara VI 141 45.46305556 11.33777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 1 6 0 0 1 6 0 0 1 6 0 0 7 18
Gambugliano VI 142 45.58916667 11.43888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Grancona VI 143 45.42444444 11.455 1 11 0 0 1 13 0 0 1 15 0 0 1 15 1 6 1 15 1 6 1 14 1 10 1 14 1 10 1 14 2 17 1 14 1 10 1 14 2 14 1 14 3 20 1 14 1 7 1 14 1 7 1 14 1 7
GrisignanodiZocco VI 144 45.47638889 11.70055556 3 87 0 0 3 90 0 0 3 90 0 0 3 90 0 0 4 182 0 0 4 182 0 0 4 188 0 0 3 165 0 0 4 188 0 0 3 172 0 0 4 193 1 6 4 193 0 0 3 193 0 0 3 193 0 0
GrumolodelleAbbadesse VI 145 45.5175 11.65916667 2 75 0 0 2 75 0 0 2 75 0 0 2 75 0 0 2 75 0 0 2 75 0 0 2 71 0 0 2 71 0 0 2 71 0 0 2 114 0 0 2 114 0 0 2 114 0 0 2 114 0 0 2 185 1 30
IsolaVicentina VI 146 45.63027778 11.44194444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 15 0 0 2 15 0 0 2 16 0 0 2 16 0 0 5 36 0 0 2 16 0 0 2 20 0 0 3 23 1 11 2 20 1 11 3 30 1 11 3 30
Laghi VI 147 45.825 11.27305556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lastebasse VI 148 45.91611111 11.27111111 3 52 2 160 2 40 2 160 2 40 1 100 2 40 1 100 2 40 1 100 2 41 1 100 2 41 1 100 2 41 0 0 2 41 1 100 2 48 1 16 2 48 3 140 2 48 2 40 2 48 2 40 2 48 2 40
Longare VI 149 45.48 11.60944444 0 0 0 0 0 0 1 8 0 0 2 18 0 0 2 18 0 0 5 34 0 0 2 33 0 0 3 39 0 0 5 52 0 0 5 52 0 0 8 86 0 0 6 75 0 0 4 60 0 0 5 65 0 0 5 67
Lonigo VI 150 45.38777778 11.38888889 3 60 0 0 1 24 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 1 5 1 25 1 5 1 25 1 5 2 110 2 88 2 110 4 104 2 110 3 105 2 110 3 100 2 110 4 105
LugodiVicenza VI 151 45.755 11.52305556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 0 0 0 0 0 0 0 0 0 1 9 0 0 2 51 0 0 2 51 0 0 2 51
Lusiana VI 152 45.78583333 11.57444444 4 148 5 75 4 148 5 75 4 152 5 75 5 173 181 926 5 173 181 926 3 85 181 921 3 85 182 937 3 85 182 931 3 85 183 939 2 61 177 1056 2 64 38 199 2 48 32 151 2 48 33 151 2 48 45 176
Malo VI 153 45.65777778 11.40583333 3 98 0 0 3 98 0 0 3 98 0 0 3 98 0 0 3 98 0 0 3 100 0 0 3 100 0 0 2 74 0 0 3 100 0 0 2 92 3 18 3 115 5 19 2 92 5 18 2 92 5 18 2 66 5 18
MaranoVicentino VI 154 45.69333333 11.43027778 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 0 0 1 17 1 6 1 17 2 8 1 17 1 3 1 17 1 3 1 17 0 0
Marostica VI 155 45.74805556 11.65611111 5 102 0 0 5 101 0 0 6 121 1 6 6 121 2 10 6 121 3 13 6 195 1 6 6 202 3 32 6 202 7 54 6 202 7 52 6 177 13 83 6 177 15 92 5 163 11 69 5 166 12 82 5 166 11 75
MasonVicentino VI 156 45.71944444 11.60888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 34 0 0 7 50 0 0 6 53 0 0 6 53 0 0 6 53
Molvena VI 157 45.735 11.61333333 1 11 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 9 0 0 1 9 2 12 1 9 2 12 1 9 2 12 1 9 3 20 1 10 4 29 1 10 4 33 1 10 4 32 0 0 4 32
MontebelloVicentino VI 158 45.45861111 11.38611111 2 38 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 1 14 1 20 0 0 0 0 2 17 1 20 5 17 1 20 4 14 1 20 4 14 1 20 4 14
MontecchioMaggiore VI 159 45.50638889 11.41027778 6 402 1 49 5 396 2 50 6 500 2 50 6 500 1 1 6 500 2 50 6 500 1 1 6 494 1 1 7 543 1 6 6 494 1 1 7 563 2 75 7 599 12 90 7 599 12 90 7 599 13 104 7 599 13 104
MontecchioPrecalcino VI 160 45.665 11.56055556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 0 1 7 0 0 1 7 0 0 1 7 0 0 1 4 0 0 2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MontediMalo VI 161 45.66138889 11.36305556 0 0 0 0 0 0 0 0 0 0 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 11 0 0
Montegalda VI 162 45.44527778 11.67944444 2 23 0 0 2 23 0 0 2 24 1 8 2 24 1 8 2 24 2 32 2 24 2 32 2 24 2 32 1 12 2 32 2 24 2 32 2 31 3 36 0 0 4 40 1 20 4 44 1 20 4 40 1 20 4 30
Montegaldella VI 163 45.43666667 11.67527778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 18 0 0 1 18 0 0 0 0 0 0 1 18 0 0 1 18 0 0 2 36 0 0 2 36 0 0 2 29 0 0 1 11
Monteviale VI 164 45.56166667 11.45833333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 1 3 0 0 3 9 0 0 3 9 0 0 2 5
MonticelloConteOtto VI 165 45.59555556 11.58583333 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 1 5 1 20 1 5 1 20 2 7 1 20 2 9 1 20 1 4 1 20 1 4 1 20 2 14
MontorsoVicentino VI 166 45.49027778 11.36277778 1 36 0 0 1 36 0 0 1 36 0 0 1 36 0 0 1 36 0 0 1 37 1 9 1 37 1 9 1 37 1 9 1 37 1 9 1 37 1 9 1 37 1 9 1 37 1 9 1 37 1 9 1 37 1 9
Mossano VI 167 45.42083333 11.55527778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 3 26 0 0 1 16 0 0 1 7 0 0 1 7
Mussolente VI 168 45.78416667 11.80361111 1 38 0 0 1 38 0 0 1 38 0 0 1 38 0 0 1 38 0 0 1 37 0 0 1 37 0 0 1 37 0 0 1 37 0 0 1 38 1 8 2 57 1 8 2 57 1 8 2 57 1 8 2 57 1 8
Nanto VI 169 45.42527778 11.59361111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 1 2 0 0 1 2 0 0 1 4 0 0 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NogaroleVicentino VI 170 45.56055556 11.28833333 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0 1 14 0 0
Nove VI 171 45.72666667 11.67916667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0
NoventaVicentina VI 172 45.29138889 11.54 3 69 0 0 3 69 0 0 3 69 0 0 3 69 0 0 3 69 0 0 3 69 0 0 3 69 0 0 3 69 0 0 3 69 0 0 2 50 2 37 2 50 3 49 2 50 3 49 2 50 3 25 2 50 3 38
Orgiano VI 173 45.35222222 11.46638889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pedemonte VI 174 45.91027778 11.30972222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pianezze VI 175 45.74166667 11.6275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 1 6 0 0 3 40 0 0 2 10 0 0 0 0 0 0 0 0 0 0 0 0
PioveneRocchette VI 176 45.76166667 11.43055556 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 2 9 2 37 0 0 0 0 3 74 0 0 4 43 0 0 2 34 0 0 2 34 0 0 2 34
PoianaMaggiore VI 177 45.29055556 11.50138889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0
Posina VI 178 45.79222222 11.26194444 1 23 5 217 1 29 5 217 1 29 4 182 1 29 141 867 1 29 142 871 1 23 4 182 1 23 4 182 1 23 2 116 1 23 5 186 1 23 3 120 1 23 7 196 1 23 3 122 1 23 3 122 1 23 3 134
PovedelGrappa VI 179 45.80166667 11.72888889 3 95 0 0 3 79 0 0 3 79 0 0 3 79 0 0 4 106 2 15 3 92 0 0 3 94 0 0 3 94 3 16 3 94 1 5 2 70 4 25 3 58 6 42 2 44 3 22 2 44 3 22 2 44 2 17
Pozzoleone VI 180 45.64972222 11.68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 4
QuintoVicentino VI 181 45.57416667 11.62611111 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 3 0 0 1 3 0 0 2 13 0 0 2 13 0 0 2 14 0 0 3 17 0 0 6 48 0 0 8 47 0 0 10 53 0 0 10 53 0 0 10 53
RecoaroTerme VI 182 45.70638889 11.225 32 1455 25 561 27 1267 26 577 27 1267 26 577 27 1267 100 1027 27 1267 66 694 27 1246 12 418 27 1227 11 410 26 1211 11 430 27 1227 12 417 19 949 64 1165 19 866 77 702 19 866 70 663 20 949 68 715 19 887 65 706
Roana VI 183 45.86555556 11.47416667 30 899 13 946 30 899 13 946 31 945 13 946 31 958 1335 4733 30 938 1333 4750 26 897 1192 4130 25 849 1196 4163 23 832 1191 4200 25 849 1197 4171 21 712 1318 5756 21 813 489 2910 21 811 466 2704 21 842 485 2913 21 843 975 4236
Romanod'Ezzelino VI 184 45.78 11.77083333 3 63 0 0 3 63 0 0 3 63 0 0 3 63 0 0 3 63 2 38 3 65 1 32 3 65 1 32 2 56 2 38 3 65 2 38 2 56 5 98 2 56 8 48 2 72 5 38 2 72 5 38 2 72 5 38
Rosà VI 185 45.72444444 11.76472222 2 38 0 0 2 38 0 0 2 38 0 0 2 38 0 0 2 38 0 0 2 38 0 0 2 38 1 14 2 38 1 14 2 38 1 14 2 30 1 14 2 30 3 28 2 30 2 31 2 30 2 31 2 30 1 23
RossanoVeneto VI 186 45.70694444 11.80333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 0 1 10 0 0 1 10 0 0 2 61 0 0 2 61
Rotzo VI 187 45.86583333 11.40138889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 460 0 0 81 460 0 0 81 460 0 0 81 460 0 0 81 460 0 0 81 460 0 0 82 466 0 0 8 33 0 0 8 31 0 0 9 56 0 0 25 108
Salcedo VI 188 45.76027778 11.565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 11 0 0 1 11 0 0 0 0 0 0 0 0
Sandrigo VI 189 45.66166667 11.60361111 2 153 0 0 2 152 0 0 2 152 0 0 3 205 0 0 3 205 0 0 3 206 0 0 3 206 0 0 3 206 1 6 3 206 1 6 3 206 2 12 3 206 2 12 3 206 1 17 3 206 2 22 3 207 3 24
SanGermanodeiBerici VI 190 45.40222222 11.47666667 0 0 0 0 0 0 1 4 0 0 1 4 0 0 1 4 0 0 1 4 0 0 2 19 0 0 3 31 0 0 4 44 0 0 4 39 0 0 3 33 0 0 5 45 0 0 3 33 0 0 3 32 0 0 1 14
SanNazario VI 191 45.84194444 11.69 1 16 1 5 1 16 1 5 1 16 1 5 1 16 1 5 1 16 2 17 1 16 2 17 1 16 3 21 1 16 2 16 1 16 3 21 1 16 3 10 1 16 6 37 1 16 5 39 1 16 5 92 1 16 4 84
SanPietroMussolino VI 192 45.58861111 11.25777778 2 25 0 0 2 25 0 0 2 25 0 0 2 25 0 0 2 25 0 0 2 25 0 0 2 25 0 0 2 25 0 0 2 25 0 0 2 26 0 0 2 26 0 0 2 26 0 0 2 26 0 0 2 26 0 0
Santorso VI 193 45.73916667 11.39027778 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 0 0 1 25 1 101 1 25 1 101 1 25 1 101 1 25 1 101 1 25 1 101 1 30
SanVitodiLeguzzano VI 194 45.68333333 11.37638889 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 1 20 0 0 2 36 0 0 1 20 0 0 2 36 0 0 2 36 0 0 2 36 0 0 2 36 0 0 2 36 0 0
Sarcedo VI 195 45.70944444 11.52722222 1 12 0 0 0 0 0 0 0 0 1 11 0 0 1 11 0 0 1 11 0 0 2 18 0 0 2 18 0 0 2 18 0 0 2 18 0 0 2 18 0 0 3 24 0 0 3 24 0 0 3 24 0 0 3 24
Sarego VI 196 45.40777778 11.4075 0 0 0 0 0 0 1 5 0 0 1 5 0 0 1 5 0 0 1 5 0 0 2 13 0 0 2 13 0 0 2 13 0 0 2 13 0 0 3 27 0 0 3 27 0 0 2 29 0 0 2 22 0 0 2 22
