Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
SanGregorionelleAlpi 46.105556 12.024722 264 109 109 117 127 123 129 51 54 51 112 66 71 71 122 223
SanNicolòdiComelico 46.583611 12.526944 265 457 457 457 447 446 446 67 91 67 406 202 211 220 259 264
SanPietrodiCadore 46.573333 12.586667 266 1327 1322 1314 1309 1284 1263 489 459 489 1381 795 774 788 869 893
SantaGiustina 46.085833 12.041944 267 103 103 95 97 106 99 88 90 88 132 181 181 186 197 207
SanTomasoAgordino 46.381944 11.975278 268 26 26 26 75 104 98 101 105 101 171 222 196 220 224 241
SantoStefanodiCadore 46.559722 12.550278 269 2617 2590 2583 2463 2463 2472 1082 1062 1082 2479 1704 1676 1719 1880 1887
SanVitodiCadore 46.465556 12.204444 270 3820 3839 3864 3925 3960 3937 1397 1394 1397 1826 2116 1973 2032 2658 2699
Sappada 46.566111 12.678333 271 2895 2912 2908 2851 2897 2841 1258 1250 1258 2886 2976 2892 3006 3138 3201
Sedico 46.111667 12.098333 272 79 79 79 79 87 87 63 82 63 103 152 138 134 133 137
SelvadiCadore 46.452500 12.035278 273 1840 1852 1862 1913 1944 2354 2240 2222 2240 2265 2287 2259 2274 2331 2368
SerendelGrappa 45.989167 11.846389 274 99 87 93 99 105 110 93 103 93 182 116 122 124 175 214
Sospirolo 46.144167 12.074167 275 268 268 281 281 284 284 281 269 281 76 41 44 50 52 52
Soverzene 46.206389 12.303056 276 0 0 0 0 0 0 0 0 0 0 0 0 5 5 8
Sovramonte 46.062500 11.786389 277 765 755 715 719 719 719 190 251 190 792 160 150 144 418 580
TaibonAgordino 46.300556 12.011111 278 452 452 452 452 445 452 427 421 427 217 178 178 180 245 251
Tambre 46.130833 12.423611 279 3605 3609 3609 3949 4185 4008 416 405 416 3805 844 840 845 4016 4028
Trichiana 46.074722 12.131111 280 60 60 91 45 48 75 61 71 61 70 72 72 92 115 131
ValladaAgordina 46.371111 11.931111 281 488 486 486 486 486 557 555 525 555 414 308 319 319 419 438
VallediCadore 46.420556 12.336111 282 552 558 551 558 572 572 142 148 142 236 321 336 375 355 370
Vas 45.940000 11.938333 283 33 33 33 38 38 38 18 18 18 38 18 18 18 38 38
VigodiCadore 46.500278 12.472222 284 2047 1995 1995 1995 1893 1870 1806 756 1806 1516 1385 1290 1388 1892 1892
VodoCadore 46.420000 12.246667 285 527 527 527 528 528 528 241 245 241 156 188 184 183 265 279
VoltagoAgordino 46.274722 12.005556 286 954 954 954 952 923 939 890 914 890 561 495 481 466 527 527
ZoldoAlto 46.376389 12.127500 287 4141 4169 4149 4081 4181 4156 4097 4174 4097 4238 2954 2714 2753 2964 3139
ZoppèdiCadore 46.388611 12.172222 288 80 80 80 66 0 45 25 25 25 24 34 14 14 45 45
Altivole 45.754444 11.956111 289 0 0 0 0 0 3 14 19 14 28 52 54 69 69 69
Arcade 45.786389 12.219444 290 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6
Asolo 45.804167 11.914167 291 180 180 180 181 255 273 290 276 290 313 310 342 389 392 382
BorsodelGrappa 45.822222 11.800278 292 97 108 108 108 128 137 124 156 124 211 221 403 407 418 447
BredadiPiave 45.724444 12.331389 293 0 0 0 0 3 3 60 60 60 89 109 106 106 128 126
CaeranodiSanMarco 45.787500 12.001944 294 73 79 83 83 83 106 110 115 110 123 93 93 93 98 103
CappellaMaggiore 45.970833 12.362778 295 0 0 4 4 0 7 2 0 2 0 0 2 14 12 27
Carbonera 45.680556 12.286944 296 0 0 0 0 0 2 2 2 2 2 6 6 8 6 8
CasalesulSile 45.599167 12.326667 297 25 25 25 68 71 96 93 117 93 131 127 124 121 113 133
Casier 45.635556 12.258333 298 22 22 22 22 34 34 34 34 34 62 62 84 140 94 94
Castelcucco 45.835556 11.882778 299 53 38 57 59 66 66 74 66 74 63 69 65 70 43 43
CastelfrancoVeneto 45.673056 11.926667 300 422 422 422 435 436 462 497 502 497 580 585 594 588 650 672
CastellodiGodego 45.693889 11.881111 301 12 12 27 27 27 27 27 67 27 59 89 94 94 94 96
CavasodelTomba 45.861111 11.897222 302 20 14 42 36 40 48 44 14 44 140 140 147 147 147 147
Cessalto 45.713333 12.613056 303 38 38 38 38 38 37 37 37 37 37 43 44 44 50 50
Chiarano 45.730278 12.582500 304 3 0 0 0 0 0 0 0 0 16 20 20 20 18 18
Cimadolmo 45.788056 12.363056 305 10 10 10 14 14 13 17 10 17 10 17 17 17 17 17
CisondiValmarino 45.971667 12.142500 306 125 17 25 31 43 130 132 140 132 228 229 223 233 226 226
Codognè 45.868889 12.433611 307 10 10 10 16 16 16 16 27 16 58 121 125 125 125 125
ColleUmberto 45.942500 12.343333 308 7 24 23 23 23 23 23 23 23 53 55 55 55 55 55
Conegliano 45.887222 12.297222 309 461 461 451 469 475 494 488 584 488 584 646 670 661 675 684
Cordignano 45.950833 12.416111 310 21 21 21 21 23 23 23 23 23 23 23 23 19 48 54
Cornuda 45.833056 12.006944 311 7 0 25 0 4 4 5 0 5 60 60 55 55 55 55
CrespanodelGrappa 45.829444 11.839722 312 221 207 211 221 170 166 161 115 161 139 127 127 172 172 172
CrocettadelMontello 45.823889 12.019722 313 18 18 26 30 26 30 30 20 30 89 83 83 76 80 80
FarradiSoligo 45.908056 12.124722 314 155 155 167 167 149 165 181 206 181 224 254 228 131 221 221
Follina 45.955000 12.118889 315 135 123 135 201 207 243 266 268 266 265 265 266 266 272 275
Fontanelle 45.832222 12.468611 316 0 0 0 0 0 0 6 4 6 10 10 10 10 10 10
Fonte 45.786111 11.870556 317 54 54 54 6 6 65 11 18 11 25 25 20 29 35 41
Fregona 46.009722 12.340556 318 43 34 43 52 50 56 43 43 43 48 56 56 53 53 67
Gaiarine 45.879722 12.483611 319 0 0 0 0 0 0 0 0 0 0 12 12 12 24 24
GiaveradelMontello 45.803333 12.168611 320 4 0 0 0 0 0 6 6 6 8 8 8 18 22 29
GodegadiSant'Urbano 45.929722 12.398611 321 25 25 25 25 27 27 34 38 34 38 38 38 38 91 91
GorgoalMonticano 45.788333 12.551667 322 50 52 52 52 52 51 50 50 50 75 76 98 98 98 98
Istrana 45.680278 12.099722 323 17 17 17 17 17 16 16 22 16 54 54 57 57 57 59
Loria 45.731111 11.866111 324 18 18 18 18 18 18 18 18 18 18 18 20 24 25 25
Mansuè 45.823611 12.540833 325 0 0 0 0 14 20 20 20 20 18 18 26 26 25 25
MarenodiPiave 45.847500 12.355000 326 0 0 0 0 0 8 14 14 14 44 44 46 35 35 31
Maser 45.809444 11.977500 327 0 0 0 0 4 12 27 41 27 65 71 75 79 83 87
MaseradasulPiave 45.755556 12.315278 328 25 25 25 25 25 25 25 30 25 30 33 35 47 44 44
MedunadiLivenza 45.807500 12.613611 329 37 37 37 37 37 37 37 37 37 37 37 37 37 37 43
Miane 45.945833 12.095556 330 16 8 12 20 34 34 33 35 33 71 68 77 80 77 74
MoglianoVeneto 45.563056 12.236667 331 519 435 532 550 642 661 692 695 692 803 817 745 819 860 1288
MonastierdiTreviso 45.651944 12.434167 332 357 357 357 357 357 357 340 340 340 354 380 368 360 360 360
Monfumo 45.833056 11.921389 333 17 0 17 17 17 23 21 2 21 21 53 51 37 51 53
Montebelluna 45.776667 12.045000 334 232 243 243 241 225 225 269 274 269 310 354 329 332 333 380
Morgano 45.635833 12.083333 335 8 0 0 0 0 0 0 0 0 0 0 2 2 13 13
MoriagodellaBattaglia 45.867222 12.100833 336 10 10 10 10 15 15 15 15 15 10 14 14 14 18 18
MottadiLivenza 45.777222 12.611111 337 90 67 100 100 100 100 100 112 100 132 177 178 165 178 205
NervesadellaBattaglia 45.825833 12.209444 338 0 0 0 9 9 20 20 19 20 91 86 86 101 103 103
Oderzo 45.783333 12.494444 339 195 186 195 199 203 221 268 224 268 284 313 348 355 362 371
Ormelle 45.780556 12.420000 340 0 0 0 0 0 0 0 3 0 4 4 4 4 4 4
Orsago 45.932500 12.422500 341 25 25 25 25 25 25 25 25 25 30 39 39 14 43 47
PadernodelGrappa 45.828056 11.852500 342 38 21 38 25 166 148 147 148 147 191 211 115 143 139 445
Paese 45.673056 12.156667 343 56 56 56 60 60 63 64 66 64 90 88 89 90 98 100
Pederobba 45.859167 11.987222 344 4 4 4 15 11 17 12 2 12 16 21 29 26 35 37
PievediSoligo 45.901111 12.172500 345 238 240 240 244 244 245 237 245 237 255 271 286 298 283 294
PontediPiave 45.717500 12.463611 346 158 148 158 158 176 156 176 181 176 265 270 261 283 228 226
PonzanoVeneto 45.719167 12.209167 347 28 8 8 168 172 181 193 193 193 185 185 187 208 209 209
Portobuffolè 45.854722 12.538611 348 83 78 83 83 82 82 82 87 82 87 89 89 89 89 89
Possagno 45.856667 11.881111 349 128 124 128 128 128 128 109 109 109 34 127 127 44 41 27
Povegliano 45.759722 12.206111 350 0 0 0 8 8 8 22 22 22 22 14 14 14 14 28
Preganziol 45.604444 12.235833 351 178 177 177 236 461 374 459 472 459 563 538 541 540 539 546
QuintodiTreviso 45.646389 12.168056 352 57 55 63 63 63 65 71 71 71 78 93 349 349 332 332
Refrontolo 45.924444 12.206944 353 25 25 12 32 66 39 27 27 27 41 51 44 62 50 49
Resana 45.632500 11.956944 354 0 0 0 6 6 6 13 7 13 38 38 38 51 54 54
RevineLago 45.992778 12.231111 355 392 374 390 390 431 374 623 620 623 277 258 301 294 324 289
RiesePioX 45.730833 11.919722 356 0 0 0 38 38 42 42 38 42 38 61 61 61 61 54
Roncade 45.629722 12.376389 357 50 50 50 63 65 75 68 70 68 128 156 164 257 224 230
Salgareda 45.705278 12.493889 358 20 14 14 14 44 48 22 22 22 48 107 72 50 50 50
SanBiagiodiCallalta 45.684722 12.376944 359 79 61 79 79 74 80 92 116 92 105 109 109 130 126 126
SanFior 45.921389 12.357778 360 56 68 68 64 69 69 69 69 69 67 67 67 67 65 65
SanPietrodiFeletto 45.914167 12.253056 361 21 17 26 35 41 47 49 56 49 86 89 82 83 87 96
SanPolodiPiave 45.792500 12.395833 362 23 23 23 23 23 35 52 46 52 46 46 34 34 34 34
SantaLuciadiPiave 45.851667 12.287222 363 0 0 0 0 0 0 0 0 0 5 5 5 5 5 5
SanVendemiano 45.888611 12.345278 364 58 58 58 0 78 92 98 110 98 110 112 112 112 111 111
SanZenonedegliEzzelini 45.780556 11.840556 365 58 58 58 58 58 72 78 78 78 96 104 110 123 118 120
Sarmede 45.979444 12.385000 366 32 32 32 34 34 34 38 38 38 40 44 42 24 24 30
Segusino 45.916944 11.954444 367 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SernagliadellaBattaglia 45.875833 12.133611 368 13 13 13 13 4 4 18 10 18 18 18 18 18 18 18
Silea 45.654444 12.299167 369 69 69 69 73 73 96 159 161 159 247 255 305 308 295 303
Spresiano 45.781111 12.259167 370 76 125 125 76 76 84 86 86 86 209 221 213 212 222 233
Susegana 45.852222 12.250556 371 91 56 73 60 146 149 166 162 166 157 203 193 190 132 203
Tarzo 45.973611 12.233056 372 197 143 190 198 198 209 209 137 209 207 165 155 155 89 94
Trevignano 45.742500 12.086111 373 0 0 0 0 0 0 0 4 0 11 11 17 28 30 30
Treviso 45.666389 12.245278 374 944 840 857 880 1122 1213 1267 1413 1267 1553 1589 1639 1703 1826 1763
Valdobbiadene 45.902500 11.997222 375 130 94 105 109 167 193 267 297 267 431 454 466 477 487 506
Vazzola 45.838889 12.380278 376 15 15 15 15 15 16 21 21 21 21 21 21 21 26 26
Vedelago 45.687222 12.019722 377 161 145 135 160 133 133 136 136 136 151 191 186 191 199 190
Vidor 45.863333 12.039167 378 0 0 0 0 0 0 2 3 2 10 7 7 7 4 4
Villorba 45.713333 12.260000 379 87 87 87 111 111 115 141 145 141 146 308 329 318 322 598
VittorioVeneto 45.990556 12.296944 380 326 264 325 359 345 356 383 375 383 427 427 450 504 526 559
VolpagodelMontello 45.778333 12.125278 381 40 40 46 44 44 44 56 56 56 62 86 96 92 90 103
ZensondiPiave 45.679167 12.492222 382 9 0 9 0 0 6 6 6 6 6 6 0 0 0 4
ZeroBranco 45.602222 12.168333 383 5 5 5 10 18 18 21 16 21 37 33 33 33 34 40
AnnoneVeneto 45.797500 12.685833 384 13 13 13 14 13 13 13 0 13 0 13 0 0 0 0
CampagnaLupia 45.356944 12.098333 385 47 47 47 47 54 54 54 24 54 22 81 81 134 195 204
CampolongoMaggiore 45.333056 12.050278 386 0 0 0 0 0 0 0 0 0 0 0 0 7 7 7
Camponogara 45.385833 12.074167 387 0 0 0 0 0 0 0 0 0 8 10 18 18 18 18
Caorle 45.602500 12.888333 388 50169 49400 50580 49312 48966 52983 51672 51889 51672 52523 54581 60997 61001 58320 59612
Cavarzere 45.136667 12.083889 389 45 55 45 45 71 71 71 71 71 71 62 83 91 95 74
Ceggia 45.686111 12.637778 390 8 8 8 8 8 17 17 17 17 8 17 17 41 33 33
Chioggia 45.220556 12.279444 391 27890 27906 28179 28123 28113 30469 31383 30491 31383 29047 28549 39456 38560 25067 24000
CintoCaomaggiore 45.826111 12.786667 392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48
Cona 45.194444 12.041667 393 0 0 0 0 0 9 9 9 9 9 9 9 9 9 15
ConcordiaSagittaria 45.757222 12.845278 394 38 38 8 31 42 42 47 47 47 67 93 173 127 142 122
Dolo 45.425556 12.075556 395 148 148 150 162 178 204 226 200 226 271 288 326 373 356 358
Eraclea 45.578889 12.673056 396 9877 10134 9370 9374 9344 9512 9461 9346 9461 7596 12261 13934 14178 9229 9197
Fiessod'Artico 45.419167 12.033611 397 115 126 128 128 143 157 166 149 166 154 216 216 217 208 211
FossaltadiPiave 45.648611 12.513889 398 0 0 0 21 21 21 21 21 21 21 21 21 25 25 25
FossaltadiPortogruaro 45.792222 12.909167 399 10 10 23 23 23 23 33 33 33 35 42 52 50 46 51
Fossò 45.388333 12.050278 400 8 8 8 8 8 8 47 47 47 47 66 81 87 65 65
Gruaro 45.831389 12.841111 401 0 0 9 15 15 22 22 22 22 22 22 22 22 15 49
Jesolo 45.540000 12.641389 402 79329 78937 77844 79079 81459 82425 83985 84055 83985 88424 61635 70719 70613 63204 62322
Marcon 45.555556 12.299167 403 37 53 53 53 61 61 61 61 61 69 360 419 402 410 410
Martellago 45.548333 12.156667 404 0 0 0 0 6 6 6 6 6 18 47 189 215 178 178
Meolo 45.622500 12.451944 405 33 130 126 126 126 35 134 134 134 134 142 142 175 169 169
Mira 45.435000 12.122500 406 541 539 574 677 728 787 803 812 803 883 1030 1335 1127 1124 1162
Mirano 45.494722 12.112500 407 212 302 302 371 392 400 392 378 392 397 579 734 654 983 990
MusilediPiave 45.623889 12.565000 408 15 15 14 14 14 35 44 44 44 38 41 55 79 85 79
Noale 45.551944 12.073056 409 305 305 321 321 324 324 360 357 360 349 449 478 389 377 385
NoventadiPiave 45.662778 12.530556 410 56 56 56 81 185 303 303 336 303 330 409 618 625 796 796
Pianiga 45.458056 12.031111 411 0 0 0 0 0 0 103 103 103 166 181 187 194 192 201
Portogruaro 45.777222 12.837222 412 197 197 201 198 207 240 245 248 245 246 254 352 374 381 387
Pramaggiore 45.814444 12.738611 413 0 0 0 0 0 0 0 0 0 0 0 0 0 10 10
Quartod'Altino 45.581944 12.370833 414 137 295 295 310 310 310 316 623 316 629 656 651 649 649 703
Salzano 45.522500 12.106944 415 22 22 78 90 94 94 94 84 94 84 84 84 86 92 98
SanDonàdiPiave 45.633889 12.565278 416 421 444 454 432 476 440 440 440 440 466 459 480 413 398 400
SanMichelealTagliamento 45.767222 12.994722 417 62387 69201 70178 70426 70434 74852 76361 78439 76361 77525 73325 85561 85363 82472 85552
SantaMariadiSala 45.508333 12.036111 418 64 64 64 64 64 64 64 80 64 80 94 101 94 95 95
SantoStinodiLivenza 45.731944 12.681667 419 86 86 51 54 83 83 87 75 87 98 131 132 151 145 156
Scorzè 45.574444 12.109444 420 74 74 74 73 73 126 126 120 126 131 165 188 190 190 191
Spinea 45.491944 12.169444 421 46 46 46 54 54 63 74 80 74 90 113 161 119 119 123
Stra 45.411389 12.009167 422 96 96 96 96 96 96 96 181 96 292 299 297 304 296 296
TeglioVeneto 45.816389 12.886944 423 0 0 0 0 6 6 12 12 12 12 13 13 13 13 13
TorrediMosto 45.691389 12.710833 424 0 0 0 0 25 25 25 25 25 12 31 32 46 52 38
Venezia 45.438056 12.327500 425 92556 94751 95062 96503 99471 102495 104197 103594 104197 106518 117620 123978 121003 118168 118492
Vigonovo 45.389167 12.008889 426 12 20 29 30 34 41 37 30 37 21 51 77 81 81 81
AbanoTerme 45.36166667 11.79083333 427 10657 10167 10167 11260 11334 10494 10415 10063 10415 10462 10490 10593 10637 10766 11177
Agna 45.17222222 11.96166667 428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35
Albignasego 45.3475 11.86805556 429 133 133 133 149 149 183 189 171 189 192 211 209 212 211 211
AnguillaraVeneta 45.14138889 11.88888889 430 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ArquàPetrarca 45.27055556 11.71861111 431 0 17 17 17 17 9 23 14 23 25 108 134 161 162 180
Arre 45.21805556 11.93083333 432 0 0 0 0 4 8 8 6 8 0 4 4 4 0 0
Arzergrande 45.27583333 12.04583333 433 0 0 0 0 0 0 0 0 0 0 5 5 5 5 5
BagnolidiSopra 45.18638889 11.88472222 434 0 10 10 11 11 10 11 0 11 0 10 10 10 22 38
Baone 45.24444444 11.68777778 435 0 0 0 0 23 58 74 14 74 109 162 155 161 153 153
Barbona 45.10833333 11.66222222 436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BattagliaTerme 45.29194444 11.78527778 437 208 201 201 203 221 200 185 167 185 171 173 167 175 175 179
BoaraPisani 45.10861111 11.78277778 438 36 36 36 38 38 36 106 106 106 110 110 110 113 113 113
Borgoricco 45.53138889 11.96638889 439 0 0 0 0 4 12 4 4 4 30 50 50 68 44 44
Bovolenta 45.27111111 11.93944444 440 12 0 0 16 16 18 16 16 16 16 27 31 31 28 28
Brugine 45.29916667 11.99444444 441 0 0 0 6 13 13 23 12 23 32 33 25 25 21 21
Cadoneghe 45.45 11.91027778 442 0 0 0 8 8 16 19 20 19 81 91 85 80 80 85
Campodarsego 45.50305556 11.90861111 443 0 0 0 0 0 0 0 0 0 99 106 106 106 106 106
Campodoro 45.49388889 11.75333333 444 0 0 0 0 0 0 0 0 0 0 0 4 4 7 7
Camposampiero 45.57083333 11.93388889 445 98 137 137 187 190 267 339 302 339 215 361 442 442 436 442
CampoSanMartino 45.54861111 11.81138889 446 0 0 0 0 0 0 5 5 5 0 0 0 12 22 22
Candiana 45.22166667 11.9925 447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
Carceri 45.19916667 11.62583333 448 0 0 0 0 0 0 0 0 0 0 6 6 6 18 18
CarmignanodiBrenta 45.63138889 11.71055556 449 70 64 64 63 63 66 63 71 63 56 69 69 69 69 65
Cartura 45.26916667 11.85972222 450 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0
CasalediScodosia 45.18694444 11.46111111 451 0 0 0 0 0 10 0 0 0 0 4 4 8 21 21
Casalserugo 45.31805556 11.91361111 452 0 0 0 0 0 0 0 4 0 4 13 13 23 27 27
Castelbaldo 45.12416667 11.44666667 453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CervareseSantaCroce 45.40305556 11.69444444 454 0 0 0 0 4 18 14 0 14 18 51 52 47 43 47
CintoEuganeo 45.2925 11.66222222 455 0 0 0 0 6 45 64 27 64 69 102 101 110 95 104
Cittadella 45.65027778 11.785 456 365 348 348 346 346 388 424 428 424 420 445 481 481 495 496
Codevigo 45.26888889 12.10166667 457 34 34 34 18 30 52 52 52 52 42 48 48 48 53 53
Conselve 45.23277778 11.87583333 458 58 58 58 58 58 192 192 192 192 234 244 244 244 252 258
Correzzola 45.2375 12.06777778 459 0 0 0 40 40 40 40 40 40 40 53 69 85 91 91
Curtarolo 45.52305556 11.83305556 460 0 0 0 0 0 16 0 0 0 26 39 44 44 39 39
Este 45.22805556 11.65333333 461 123 95 95 129 161 189 200 180 200 229 352 368 415 382 393
Fontaniva 45.63805556 11.75694444 462 23 24 24 20 20 37 30 30 30 28 28 28 28 28 28
GallieraVeneta 45.66388889 11.82972222 463 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
GalzignanoTerme 45.31055556 11.72888889 464 713 673 673 719 741 763 699 702 699 760 798 805 831 820 824
Gazzo 45.58222222 11.7075 465 0 0 0 93 93 93 93 93 93 101 101 98 98 98 98
Grantorto 45.60194444 11.73027778 466 11 11 11 11 11 11 30 19 30 27 30 30 30 30 30
Granze 45.15611111 11.71444444 467 0 0 0 0 0 2 4 4 4 8 15 15 15 12 12
Legnaro 45.34666667 11.96611111 468 17 17 17 17 17 26 30 35 30 49 56 54 63 65 101
Limena 45.48194444 11.84388889 469 43 46 46 47 53 68 65 78 65 84 99 107 106 104 116
Loreggia 45.59333333 11.94583333 470 16 16 16 56 67 68 67 68 67 45 70 72 72 72 72
LozzoAtestino 45.28888889 11.62722222 471 0 0 0 0 0 16 22 13 22 13 38 38 40 48 52
MaseràdiPadova 45.32194444 11.865 472 0 0 0 0 4 4 4 0 4 0 54 54 56 56 56
Masi 45.10861111 11.48888889 473 0 0 0 0 6 12 6 57 6 57 57 61 61 57 61
Massanzago 45.55694444 12.00444444 474 44 44 44 61 61 85 68 95 68 91 94 119 135 111 127
MegliadinoSanFidenzio 45.21833333 11.51666667 475 0 0 0 2 2 10 10 8 10 0 8 8 0 0 0
MegliadinoSanVitale 45.19416667 11.52666667 476 13 13 13 14 14 13 13 8 13 8 21 21 21 21 21
Merlara 45.16888889 11.44166667 477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mestrino 45.44277778 11.76083333 478 30 13 13 34 28 28 37 33 37 28 63 85 99 106 145
Monselice 45.23972222 11.75138889 479 173 163 163 176 320 318 329 309 329 369 462 461 484 480 516
Montagnana 45.23388889 11.46722222 480 124 205 205 168 181 155 193 177 193 197 318 248 249 243 245
MontegrottoTerme 45.33333333 11.78444444 481 6646 6730 6730 6823 7036 7081 7051 7000 7051 6896 7262 7088 6793 6748 6803
NoventaPadovana 45.41527778 11.95083333 482 28 28 28 28 28 44 47 40 47 46 66 94 96 107 111
OspedalettoEuganeo 45.22388889 11.61138889 483 15 0 0 40 40 40 40 25 40 25 39 64 66 68 68
Padova 45.40916667 11.87305556 484 3974 4052 4052 4234 4109 4289 5353 4529 5353 5585 6939 7334 7367 7366 7693
Pernumia 45.25861111 11.79055556 485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
Piacenzad'Adige 45.12944444 11.54777778 486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PiazzolasulBrenta 45.54333333 11.78722222 487 26 18 18 26 26 18 32 29 32 48 63 57 51 44 44
PiombinoDese 45.60888889 12.00083333 488 0 0 0 12 12 12 31 12 31 12 36 36 36 47 47
PiovediSacco 45.29833333 12.035 489 60 60 60 204 204 209 209 211 209 230 223 223 223 223 223
Polverara 45.31222222 11.95888889 490 0 0 0 0 0 0 0 0 0 16 26 14 14 14 14
Ponso 45.19388889 11.58694444 491 12 12 12 12 12 12 12 12 12 15 15 15 15 15 15
Pontelongo 45.25083333 12.02388889 492 16 16 16 18 36 36 36 36 36 36 36 36 36 36 36
PonteSanNicolò 45.36555556 11.93722222 493 73 73 73 86 86 98 189 98 189 98 98 102 104 116 116
Pozzonovo 45.19777778 11.79416667 494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Rovolon 45.38722222 11.65333333 495 0 0 0 0 0 17 21 2 21 96 138 106 118 128 155
Rubano 45.42805556 11.78527778 496 233 211 211 212 212 220 220 212 220 214 237 237 250 248 248
Saccolongo 45.40611111 11.74916667 497 0 0 0 0 2 8 17 15 17 0 25 20 20 0 0
Saletto 45.22805556 11.53444444 498 7 10 10 7 7 18 25 18 25 0 18 9 9 9 9
SanGiorgiodellePertiche 45.54166667 11.91055556 499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SanGiorgioinBosco 45.59222222 11.80694444 500 70 70 70 70 70 70 70 70 70 70 70 84 84 84 84
SanMartinodiLupari 45.64916667 11.85777778 501 24 16 16 19 24 43 50 43 50 44 53 46 50 50 50
SanPietroinGu 45.61638889 11.66972222 502 21 21 21 20 20 21 20 20 20 21 21 20 20 20 24
SanPietroViminario 45.2475 11.82 503 0 0 0 5 5 4 5 5 5 16 27 22 34 24 24
SantaGiustinainColle 45.56444444 11.90805556 504 10 10 10 8 8 8 8 8 8 8 8 14 17 17 17
SantaMargheritad'Adige 45.21722222 11.55805556 505 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
Sant'AngelodiPiovediSacco 45.34638889 12.00888889 506 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4
Sant'Elena 45.18777778 11.71111111 507 0 0 0 4 4 7 4 0 4 6 18 18 24 24 24
Sant'Urbano 45.12944444 11.64666667 508 0 0 0 0 0 0 0 0 0 0 4 4 20 20 20
Saonara 45.37083333 11.98583333 509 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6
SelvazzanoDentro 45.39527778 11.78361111 510 168 159 159 180 183 283 325 270 325 283 301 299 314 308 335
Solesino 45.17916667 11.74277778 511 11 11 11 11 11 11 11 11 11 11 11 0 0 0 0
Stanghella 45.13583333 11.75722222 512 32 30 30 25 28 37 44 39 44 36 39 40 40 42 42
Teolo 45.36805556 11.70833333 513 909 842 842 906 907 861 873 849 873 865 1059 1068 1095 1104 1118
TerrassaPadovana 45.24722222 11.90305556 514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tombolo 45.64638889 11.83194444 515 14 14 14 14 14 18 18 18 18 20 6 6 6 0 0
Torreglia 45.33611111 11.73277778 516 74 76 76 76 143 191 181 157 181 193 244 237 249 255 292
Trebaseleghe 45.59138889 12.05166667 517 38 39 39 37 42 44 62 63 62 48 52 52 52 57 66
Tribano 45.21277778 11.83388889 518 14 14 14 12 14 25 19 22 19 25 28 28 28 25 25
Urbana 45.18944444 11.44388889 519 70 11 11 70 91 32 32 49 32 49 49 49 49 49 56
Veggiano 45.44805556 11.71583333 520 0 0 0 6 6 6 0 0 0 18 44 44 38 38 38
Vescovana 45.13555556 11.70916667 521 0 0 0 4 4 7 4 0 4 15 15 15 15 15 15
Vighizzolod'Este 45.17638889 11.62916667 522 0 0 0 0 4 4 4 4 4 0 6 12 12 12 12
Vigodarzere 45.4625 11.87833333 523 0 0 0 0 2 19 17 15 17 34 34 21 39 36 36
Vigonza 45.44527778 11.99166667 524 103 129 129 122 125 168 137 165 137 284 291 329 333 318 318
VilladelConte 45.58416667 11.86055556 525 16 35 35 34 34 53 31 53 31 57 77 75 85 77 77
VillaEstense 45.17388889 11.66916667 526 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2
VillafrancaPadovana 45.49472222 11.79972222 527 12 12 12 12 12 26 26 26 26 78 105 113 119 119 123
VillanovadiCamposampiero 45.49194444 11.97388889 528 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3
Vo 45.329722 11.640833 529 15 0 0 45 82 137 181 15 181 203 264 264 270 188 188
DueCarrare 45.28333333 11.83333333 530 8 8 8 8 8 8 8 14 8 36 41 53 53 61 61
Adria 45.0575 12.05694444 531 114 112 112 158 209 215 192 141 192 138 268 245 314 331 419
ArianonelPolesine 44.948611 12.123889 532 20 20 20 26 45 45 54 67 54 78 85 75 112 118 130
ArquàPolesine 45.012222 11.740556 533 8 8 13 13 13 13 13 67 13 67 57 78 78 112 122
BadiaPolesine 45.095000 11.491111 534 95 92 92 92 96 78 82 90 82 92 108 112 120 125 131
